Source,Target,Type
A1039865,创意短视频,发布
B1039865,创意短视频,完成
A1039866,抖音视频,发布
B1039866,抖音视频,完成
A1039877,标签设计,发布
B1039877,标签设计,完成
A1039885,抖音视频,发布
B1039885,抖音视频,完成
A1039886,抖音视频,发布
B1039886,抖音视频,完成
A1039887,抖音视频,发布
B1039887,抖音视频,完成
A1039889,抖音视频,发布
B1039889,抖音视频,完成
A1039890,抖音视频,发布
B1039890,抖音视频,完成
A1039891,抖音视频,发布
B1039891,抖音视频,完成
A1039892,抖音视频,发布
B1039892,抖音视频,完成
A1039893,抖音视频,发布
B1039893,抖音视频,完成
A1039894,抖音视频,发布
B1039894,抖音视频,完成
A1039898,短视频营销,发布
B1039898,短视频营销,完成
A1039902,短视频营销,发布
B1039902,短视频营销,完成
A1039903,短视频营销,发布
B1039903,短视频营销,完成
A1039904,直播卖货,发布
B1039904,直播卖货,完成
A1039906,直播卖货,发布
B1039906,直播卖货,完成
A1039907,直播卖货,发布
B1039907,直播卖货,完成
A1039908,直播卖货,发布
B1039908,直播卖货,完成
A1039909,直播卖货,发布
B1039909,直播卖货,完成
A1039910,直播卖货,发布
B1039910,直播卖货,完成
A1039911,直播卖货,发布
B1039911,直播卖货,完成
A1039912,直播卖货,发布
B1039912,直播卖货,完成
A1039913,直播卖货,发布
B1039913,直播卖货,完成
A1039914,专题片制作,发布
B1039914,专题片制作,完成
A1039915,专题片制作,发布
B1039915,专题片制作,完成
A1039916,专题片制作,发布
B1039916,专题片制作,完成
A1039917,专题片制作,发布
B1039917,专题片制作,完成
A1039918,专题片制作,发布
B1039918,专题片制作,完成
A1039919,专题片制作,发布
B1039919,专题片制作,完成
A1039920,专题片制作,发布
B1039920,专题片制作,完成
A1039921,专题片制作,发布
B1039921,专题片制作,完成
A1039922,专题片制作,发布
B1039922,专题片制作,完成
A1039923,专题片制作,发布
B1039923,专题片制作,完成
A1039924,剪辑服务,发布
B1039924,剪辑服务,完成
A1039925,剪辑服务,发布
B1039925,剪辑服务,完成
A1039926,剪辑服务,发布
B1039926,剪辑服务,完成
A1039927,剪辑服务,发布
B1039927,剪辑服务,完成
A1039928,剪辑服务,发布
B1039928,剪辑服务,完成
A1039929,剪辑服务,发布
B1039929,剪辑服务,完成
A1039930,剪辑服务,发布
B1039930,剪辑服务,完成
A1039931,剪辑服务,发布
B1039931,剪辑服务,完成
A1039932,剪辑服务,发布
B1039932,剪辑服务,完成
A1039933,剪辑服务,发布
B1039933,剪辑服务,完成
A1039934,产品拍摄,发布
B1039934,产品拍摄,完成
A1039935,产品拍摄,发布
B1039935,产品拍摄,完成
A1039936,产品拍摄,发布
B1039936,产品拍摄,完成
A1039937,产品拍摄,发布
B1039937,产品拍摄,完成
A1039938,产品拍摄,发布
B1039938,产品拍摄,完成
A1039939,产品拍摄,发布
B1039939,产品拍摄,完成
A1039940,产品拍摄,发布
B1039940,产品拍摄,完成
A1039941,产品拍摄,发布
B1039941,产品拍摄,完成
A1039942,产品拍摄,发布
B1039942,产品拍摄,完成
A1039943,产品拍摄,发布
B1039943,产品拍摄,完成
A1039944,VR/AR/MR,发布
B1039944,VR/AR/MR,完成
A1039948,VR/AR/MR,发布
B1039948,VR/AR/MR,完成
A1039951,VR/AR/MR,发布
B1039951,VR/AR/MR,完成
A1039952,VR/AR/MR,发布
B1039952,VR/AR/MR,完成
A1039953,VR/AR/MR,发布
B1039953,VR/AR/MR,完成
A1039963,APP开发,发布
B1039963,APP开发,完成
A1040013,LOGO设计,发布
B1040013,LOGO设计,完成
A1040015,包装设计,发布
B1040015,包装设计,完成
A1040017,画册设计,发布
B1040017,画册设计,完成
A1040018,喷绘写真制作,发布
B1040018,喷绘写真制作,完成
A1040142,画册设计,发布
B1040142,画册设计,完成
A1040275,其他网站,发布
B1040275,其他网站,完成
A1040340,LOGO设计,发布
B1040340,LOGO设计,完成
A1040428,喷绘写真制作,发布
B1040428,喷绘写真制作,完成
A1040429,包装设计,发布
B1040429,包装设计,完成
A1040430,LOGO设计,发布
B1040430,LOGO设计,完成
A1040432,PPT设计,发布
