需求方,设计师,任务编号,能力标签,交易价格,发布时间
epayall,啄木鸟视觉,任务编号：398723,LOGO设计,300.0,2015-12-26
Toveyhong,逆行创意设计,任务编号：398598,广告设计,150.0,2015-12-25
mf136****2635,凡美广告有限公司,任务编号：398470,宣传册设计,250.0,2015-12-24
滨阳装饰,半爿设计,任务编号：398348,LOGO设计,300.0,2015-12-24
Mr139****2506,优歌品牌设计,任务编号：398163,包装设计,500.0,2015-12-23
mf152****5871,faliao,任务编号：397937,电路设计,1000.0,2015-12-21
o5582****68c43,魔手品牌设计,任务编号：397843,VI设计,300.0,2015-12-21
mf136****2635,半爿设计,任务编号：397690,LOGO设计,300.0,2015-12-20
mf136****2635,宇光石 文创设计,任务编号：397634,插画设计,255.0,2015-12-19
mf136****2635,艺云轩设计,任务编号：397632,包装设计,800.0,2015-12-19
mf136****2635,墨竹品牌设计,任务编号：397549,插画设计,800.0,2015-12-19
mf186****9588,A【免费设计深入咨询】【专业外观|结构|电控|手板|批量生产】,任务编号：397091,LOGO设计,100.0,2015-12-16
天空飘过一朵云,S+创意工作室,任务编号：397079,LOGO设计,800.0,2015-12-16
mf136****2635,宇光石 文创设计,任务编号：396755,插画设计,1000.0,2015-12-14
星点传媒,鸿弧品牌设计,任务编号：396581,LOGO设计,200.0,2015-12-13
mf182****4648,名宣广告策划工作室,任务编号：396574,海报设计,200.0,2015-12-13
zhangjiayao4606,宇光石 文创设计,任务编号：395812,漫画设计,800.0,2015-12-08
jiangwen,Dfoo视觉品牌设计,任务编号：395799,店铺装修,350.0,2015-12-08
mf133****2345,胜科工业设计,任务编号：395585,产品外观设计,5000.0,2015-12-07
mf132****2889,卟咚设计工坊,任务编号：395574,LOGO设计,300.0,2015-12-07
albrich,华客创意品牌设计,任务编号：395557,主图设计,168.0,2015-12-07
M1382****470,竹叶常青设计工作室,任务编号：395354,海报设计,150.0,2015-12-05
mf131****9791,桔米盛室文化,任务编号：395024,背景墙设计,500.0,2015-12-03
独孤一正,创意图文设计有限公司,任务编号：394921,LOGO设计,100.0,2015-12-03
mf135****7416,树H创意,任务编号：394934,LOGO设计,680.0,2015-12-03
mf159****6677,竹叶常青设计工作室,任务编号：394730,LOGO设计,100.0,2015-12-02
Z1Z1Z1Z,S+创意工作室,任务编号：394657,招牌设计,200.0,2015-12-02
mf138****3813,树H创意,任务编号：394589,宣传册设计,800.0,2015-12-01
Z1Z1Z1Z,S+创意工作室,任务编号：394502,海报设计,200.0,2015-12-01
wilde,灵视文化设计,任务编号：393624,包装设计,300.0,2015-11-26
zhiyuyg,无零惟壹视觉创意有限公司,任务编号：393687,LOGO设计,300.0,2015-11-26
o5650****91890,苏德立广告传媒™,任务编号：393301,LOGO设计,200.0,2015-11-24
云创文化,三原视觉设计工作室,任务编号：393243,包装设计,1000.0,2015-11-24
pan8828,速点广告,任务编号：393162,海报设计,500.0,2015-11-24
mf139****9520,尚一品牌设计,任务编号：392481,店铺装修,300.0,2015-11-20
鼎尚设计,半爿设计,任务编号：392247,LOGO设计,150.0,2015-11-19
ambrose,品位设计,任务编号：392219,PPT设计,600.0,2015-11-19
mf156****3003,叁或创意文化,任务编号：392033,LOGO设计,800.0,2015-11-18
mf132****9740,唐僧设计,任务编号：391648,插画设计,100.0,2015-11-16
mf152****5114,HV Design,任务编号：391558,卡通形象设计,800.0,2015-11-16
雷神啊,柠檬品牌设计工作室,任务编号：391433,广告设计,200.0,2015-11-15
huili,天津尚月广告传媒有限公司,任务编号：391395,LOGO设计,1000.0,2015-11-15
太子寻欢,斑点狗创意工作室,任务编号：391240,书籍装帧,100.0,2015-11-14
梳思缘角梳,魔手品牌设计,任务编号：391012,LOGO设计,200.0,2015-11-13
napoleonk,成都陆加叁品牌策划机构,任务编号：390930,LOGO设计,200.0,2015-11-12
少俽,世家品牌设计,任务编号：390475,海报设计,350.0,2015-11-10
supero,赳赳软件有限公司,任务编号：390361,LOGO设计,400.0,2015-11-10
Mr136****5001,竹叶常青设计工作室,任务编号：390374,LOGO设计,500.0,2015-11-10
mf136****6378,柠檬品牌设计工作室,任务编号：390290,LOGO设计,200.0,2015-11-09
mf187****8678,优歌品牌设计,任务编号：390012,LOGO设计,800.0,2015-11-07
mf139****0592,半爿设计,任务编号：389974,LOGO设计,200.0,2015-11-07
華哥,HV Design,任务编号：389870,LOGO设计,350.0,2015-11-06
o56346d2ab0591,辰光品牌设计机构,任务编号：389630,LOGO设计,1000.0,2015-11-05
mf139****1129,宁城设计部,任务编号：389342,产品外观设计,1000.0,2015-11-04
mf159****6890,摄氏度工作室,任务编号：389184,LOGO设计,800.0,2015-11-03
土豆先生123,天艺智享品牌设计机构,任务编号：389133,店铺装修,600.0,2015-11-03
mf158****2012,优派印象品牌设计机构,任务编号：389056,LOGO设计,200.0,2015-11-02
M1ng中注定,竹叶常青设计工作室,任务编号：388983,LOGO设计,200.0,2015-11-02
o563466c32ee9b,魔手品牌设计,任务编号：388708,LOGO设计,200.0,2015-10-31
五指山外,汕头市宾格视觉设计有限公司,任务编号：388394,店铺装修,1700.0,2015-10-30
mf186****0333,qinchen1983,任务编号：388278,LOGO设计,100.0,2015-10-29
pan8828,天津尚月广告传媒有限公司,任务编号：387713,宣传册设计,100.0,2015-10-27
Mr135****7717,竹叶常青设计工作室,任务编号：387348,LOGO设计,200.0,2015-10-26
mf188****8529,华工班尼设计,任务编号：386940,3D建模,100.0,2015-10-23
M1517****813,天津尚月广告传媒有限公司,任务编号：386827,LOGO设计,300.0,2015-10-23
mf186****8063,欧米创意设计,任务编号：386649,VI设计,10000.0,2015-10-22
咕咚来了,My Idea_麦义创意,任务编号：386444,LOGO设计,200.0,2015-10-21
mf185****6635,琦雯画室,任务编号：386079,其他设计,500.0,2015-10-20
mf189****8211,HV Design,任务编号：385944,LOGO设计,300.0,2015-10-19
o55c09b4221bb8,速点广告,任务编号：385919,宣传册设计,4000.0,2015-10-19
mf156****2325,新盟品牌设计顾问,任务编号：385807,包装设计,200.0,2015-10-19
M1395****487,名典设计,任务编号：385813,宣传册设计,200.0,2015-10-19
博博米兰,太极石品牌设计,任务编号：385210,宣传册设计,800.0,2015-10-15
mf136****1763,辰光品牌设计机构,任务编号：385201,LOGO设计,800.0,2015-10-15
