标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【工程造价】水运工程造价,313人,1人,3000-5000元,圆满完成,招标,k4548****0,防沙堤工程，要求资质齐全，经验丰富,2021.10.02,2021.10.12,任务编号：964976,￥5000,3天,云南省-昆明市-市辖区,大王设计工作室,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】园林工程造价,273人,2人,3000-5000元,圆满完成,招标,k4128****6,园林景观工程的成本费用预算,2021.10.02,2021.10.15,任务编号：964977,"￥4500,￥5000","6天,6天","四川省-成都市-市辖区,浙江省-杭州市-市辖区",嘉品餐饮空间设计,,,,,,,,,,,,,,,,,,,,,,,
【复式设计】农村小复式建筑设计,336人,1人,1000-3000元,圆满完成,招标,k6895****8,农村小别墅建筑设计：2.5层简约风，开间12m，进深11m。右边有房，左边间隔2-3m。一层一间卧室，一厨一厕，神龛位。二层，2次卧，一主卧带厕，一公厕，一厨房一扇大门通向后面马路，2层半一主卧带厕。,2021.10.02,2021.10.15,任务编号：963934,￥3000,6天,云南省-昆明市-市辖区,k865074339,,,,,,,,,,,,,,,,,,,,,,,
【自建房】农村自建房需要做室内设计,273人,2人,1000元以内,圆满完成,招标,k1282****3,"总共8层，此次设计只设计第3层。建筑面积198㎡。设计风格: 喜欢现代主义、简约、温馨、明亮、实用, 符合传统风水（要写明 设计原因）；注重实用，偏重细节，不喜欢花俏、艳丽和华而不实的风格。",2021.10.02,2021.10.13,任务编号：963314,"￥1000,￥1000","5天,5天","上海市-上海市-市辖区,江西省-上尧市-市辖区",北易辰设计,,,,,,,,,,,,,,,,,,,,,,,
【商业建筑】三层小客栈外观设计,252人,1人,1000元以内,圆满完成,招标,k6093****1,求外饰多立面效果图，三楼露台请展示带顶和不带顶两个效果，要求简约、大气、美观、不俗即可，不能过于豪华。,2021.10.02,2021.10.14,任务编号：965239,￥1000,6天,安徽省-芜湖市-市辖区,俱东风文创设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建三层办公楼设计,147人,1人,1000元以内,圆满完成,招标,k8176****9,设计三层办公楼（门市）的楼面和整体造型、外观、色彩等等，具体要求如下：1、楼长49米，高18米，两边延伸瓦盖有一定的空间高度，高：24米。2、一层高度：4米  二层高度：3.5米  三层高度：9米,2021.10.02,2021.10.13,任务编号：963313,￥1000,5天,江苏省-南京市-市辖区,俱东风文创设计,,,,,,,,,,,,,,,,,,,,,,,
【自建房】自建房室内装修设计,243人,2人,1000元以内,圆满完成,招标,k8987****7,要求现代中国风，地板已铺好不用设计，客厅梁比较多，首选封梁做造形，或石膏线，吊顶也可,2021.10.02,2021.10.12,任务编号：963312,"￥1000,￥1000","3天,5天","上海市-上海市-市辖区,上海市-上海市-市辖区",品阁高端设计,,,,,,,,,,,,,,,,,,,,,,,
【样板间】8平米宜家风设计样板间,168人,1人,1000元以内,圆满完成,招标,k8458****1,风格：简约、清新、自然。墙纸要暖色调的，床头有吊灯设计,2021.10.02,2021.10.12,任务编号：964121,￥1000,6天,四川省-成都市-市辖区,天艮设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】园林绿化造价,220人,1人,3000-5000元,圆满完成,招标,k1921****3,小公园的绿化工作，带等高线的，公园长90m，宽50m，等高线是1.5m，场地平整后高程为25.94m，土丘最高的地方高程为30.15m，也就是说山丘有4.21m左右，只铺设草坪和灌木,2021.10.02,2021.10.16,任务编号：964773,￥5000,7天,浙江省-杭州市-市辖区,静阁空间设计,,,,,,,,,,,,,,,,,,,,,,,
【工程造价】对市政类工程进行造价估算预算,360人,1人,3000-5000元,圆满完成,招标,k8505****3,根据市政的排水管道做污水井的工程造价,2021.10.02,2021.10.12,任务编号：964772,￥5000,3天,陕西省-西安市-市辖区,Lior力奥设计,,,,,,,,,,,,,,,,,,,,,,,
