Source,Target,Type
任务编号：699559,knowledge:软件开发,关联
任务编号：699563,knowledge:视频直播,关联
任务编号：699563,knowledge:软件开发,关联
任务编号：699563,knowledge:二期,关联
任务编号：699571,knowledge:品牌设计,关联
任务编号：699571,knowledge:全案设计,关联
任务编号：699587,knowledge:折页设计,关联
任务编号：699587,knowledge:印刷,关联
任务编号：699598,knowledge:制度商城,关联
任务编号：699598,knowledge:定制开发,关联
任务编号：699598,knowledge:原生开发,关联
任务编号：699603,knowledge:商业贸易,关联
任务编号：699603,knowledge:软件开发,关联
任务编号：699603,knowledge:一期,关联
任务编号：699608,knowledge:智能家居,关联
任务编号：699608,knowledge:软件开发,关联
任务编号：699609,knowledge:单页设计,关联
任务编号：699614,knowledge:唱歌比赛,关联
任务编号：699614,knowledge:app开发,关联
任务编号：699616,knowledge:企业网站,关联
任务编号：699616,knowledge:建设,关联
任务编号：699628,knowledge:水果类型,关联
任务编号：699628,knowledge:LOGO设计,关联
任务编号：699632,knowledge:游戏自动下单,关联
任务编号：699632,knowledge:付款软件,关联
任务编号：699632,knowledge:软件开发,关联
任务编号：699648,knowledge:UI设计,关联
任务编号：699654,knowledge:温湿度控制器,关联
任务编号：699654,knowledge:人机交互界面,关联
任务编号：699654,knowledge:设计,关联
任务编号：699672,knowledge:动画制作,关联
任务编号：699690,knowledge:WEB界面UI设计,关联
任务编号：699690,knowledge:OA界面,关联
任务编号：699690,knowledge:智能监测系统,关联
任务编号：699690,knowledge:ui界面,关联
任务编号：699690,knowledge:网页设计,关联
任务编号：699691,knowledge:手提袋,关联
任务编号：699691,knowledge:设计,关联
任务编号：699693,knowledge:校园宣传片,关联
任务编号：699693,knowledge:系部宣传,关联
任务编号：699693,knowledge:宣传片制作,关联
任务编号：699710,knowledge:办公楼设计,关联
任务编号：699717,knowledge:服务平台APP,关联
任务编号：699717,knowledge:二期开发,关联
任务编号：699718,knowledge:服务平台APP,关联
任务编号：699718,knowledge:三期开发,关联
任务编号：699719,knowledge:服务平台APP,关联
任务编号：699719,knowledge:开发末期,关联
任务编号：699723,knowledge:APP开发,关联
任务编号：699737,knowledge:手机淘宝,关联
任务编号：699737,knowledge:自动搜索,关联
任务编号：699737,knowledge:软件,关联
任务编号：699748,knowledge:卡通形象,关联
任务编号：699748,knowledge:设计,关联
任务编号：699749,knowledge:游戏插件,关联
任务编号：699749,knowledge:开发,关联
任务编号：699752,knowledge:新年红包,关联
任务编号：699752,knowledge:设计,关联
任务编号：699754,knowledge:新年礼袋,关联
任务编号：699754,knowledge:设计,关联
任务编号：699757,knowledge:公司品牌logo,关联
任务编号：699757,knowledge:VI设计,关联
任务编号：699757,knowledge:商标设计,关联
任务编号：699757,knowledge:茶叶餐饮家居建筑物流企业,关联
任务编号：699759,knowledge:租房 app,关联
任务编号：699759,knowledge:源码,关联
任务编号：699764,knowledge:logo设计,关联
任务编号：699764,knowledge:企业商标,关联
任务编号：699764,knowledge:微信公众号LOGO设计,关联
任务编号：699764,knowledge:餐饮卡通,关联
任务编号：699765,knowledge:图书馆,关联
任务编号：699765,knowledge:网站,关联
任务编号：699766,knowledge:logo设计,关联
任务编号：699766,knowledge:企业商标,关联
任务编号：699766,knowledge:微信公众号LOGO设计,关联
任务编号：699766,knowledge:餐饮卡通,关联
任务编号：699767,knowledge:VIS手册设计,关联
任务编号：699768,knowledge:logo设计,关联
任务编号：699768,knowledge:企业商标,关联
任务编号：699768,knowledge:微信公众号LOGO设计,关联
任务编号：699768,knowledge:餐饮卡通,关联
任务编号：699772,knowledge:咖啡,关联
任务编号：699772,knowledge:logo,关联
任务编号：699784,knowledge:PPT设计,关联
任务编号：699789,knowledge:企业网站,关联
任务编号：699789,knowledge:建设,关联
任务编号：699828,knowledge:宣传物料,关联
任务编号：699828,knowledge:设计,关联
任务编号：699829,knowledge:共享直播,关联
任务编号：699829,knowledge:软件开发,关联
任务编号：699843,knowledge:logo设计,关联
任务编号：699850,knowledge:包装设计,关联
任务编号：699850,knowledge:平面设计,关联
任务编号：699856,knowledge:VI应用设计,关联
任务编号：699856,knowledge:VI设计,关联
任务编号：699860,knowledge:游戏App,关联
任务编号：699860,knowledge:开发,关联
任务编号：699863,knowledge:视讯App,关联
任务编号：699863,knowledge:开发,关联
任务编号：699864,knowledge:团购网站,关联
任务编号：699864,knowledge:app开发,关联
任务编号：699864,knowledge:一期,关联
任务编号：699865,knowledge:团购网站,关联
任务编号：699865,knowledge:app开发,关联
任务编号：699865,knowledge:二期,关联
任务编号：699870,knowledge:外卖平台,关联
任务编号：699870,knowledge:开发,关联
任务编号：699871,knowledge:软件二开,关联
任务编号：699877,knowledge:美拍,关联
任务编号：699877,knowledge:app开发,关联
任务编号：699879,knowledge:企业信息管理,关联
任务编号：699879,knowledge:系统开发,关联
任务编号：699901,knowledge:微信程序,关联
任务编号：699901,knowledge:开发,关联
任务编号：699908,knowledge:企业信息搜索,关联
任务编号：699908,knowledge:微信小程序,关联
任务编号：699910,knowledge:企业信息搜索,关联
任务编号：699910,knowledge:微信小程序,关联
任务编号：699910,knowledge:小程序开发,关联
任务编号：699912,knowledge:东桥,关联
任务编号：699912,knowledge:农村别墅,关联
任务编号：699912,knowledge:设计,关联
任务编号：699914,knowledge:工地安全教育,关联
任务编号：699914,knowledge:UE4游戏,关联
任务编号：699914,knowledge:安全知识,关联
任务编号：699918,knowledge:实时里程,关联
任务编号：699918,knowledge:兑换工具,关联
任务编号：699933,knowledge:社区团购,关联
任务编号：699933,knowledge:小程序,关联
任务编号：699933,knowledge:团长功能,关联
任务编号：699936,knowledge:微博运营,关联
任务编号：699936,knowledge:代运营,关联
任务编号：699937,knowledge:商标设计,关联
任务编号：699944,knowledge:单页设计,关联
任务编号：699947,knowledge:工地安全教育,关联
任务编号：699947,knowledge:UE4游戏,关联
任务编号：699947,knowledge:安全知识,关联
任务编号：699952,knowledge:智能锁,关联
任务编号：699952,knowledge:CRM软件,关联
任务编号：699952,knowledge:软件开发,关联
任务编号：699954,knowledge:智能锁行业,关联
任务编号：699954,knowledge:CRM软件,关联
任务编号：699954,knowledge:软件开发,关联
任务编号：699969,knowledge:外贸企业,关联
任务编号：699969,knowledge:外贸营销,关联
任务编号：699969,knowledge:展示网站,关联
任务编号：699976,knowledge:教育企业,关联
